Gene,Annotation,Swiss-Prot Entry name,AC ,EcoGene accession number,Length ,Gene name and synonyms,b_num,jw_num
gapA,Glyceraldehyde-3-phosphate dehydrogenase A,G3P1_ECOLI,P0A9B2,EG10367,331,gapA,b1779, JW1768
rpsQ,30S ribosomal protein S17,RS17_ECOLI,P0AG63,EG10916,84,rpsQ; neaA,b3311, JW3273
rpsP,30S ribosomal protein S16,RS16_ECOLI,P0A7T3,EG10915,82,rpsP,b2609, JW2590
hflC,Modulator of FtsH protease HflC,HFLC_ECOLI,P0ABC3,EG10435,334,hflC; hflA,b4175, JW4133
ptsH,Phosphocarrier protein HPr,PTHP_ECOLI,P0AA04,EG10788,85,ptsH; hpr,b2415, JW2408
rpsI,30S ribosomal protein S9,RS9_ECOLI,P0A7X3,EG10908,130,rpsI,b3230, JW3199
rplJ,50S ribosomal protein L10,RL10_ECOLI,P0A7J3,EG10871,165,rplJ,b3985, JW3948
rplR,50S ribosomal protein L18,RL18_ECOLI,P0C018,EG10879,117,rplR,b3304, JW3266
rpoA,DNA-directed RNA polymerase subunit alpha,RPOA_ECOLI,P0A7Z4,EG10893,329,rpoA; pez; phs; sez,b3295, JW3257
rpmB,50S ribosomal protein L28,RL28_ECOLI,P0A7M2,EG10886,78,rpmB,b3637, JW3612
yajC,Sec translocon accessory complex subunit YajC,YAJC_ECOLI,P0ADZ7,EG11096,110,yajC,b0407, JW0397
fldA,Flavodoxin 1,FLAV_ECOLI,P61949,EG10318,176,fldA,b0684, JW0671
lrp,Leucine-responsive regulatory protein,LRP_ECOLI,P0ACJ0,EG10547,164,lrp; alsB; ihb; livR; oppI,b0889, JW0872
mlaE,putative phospholipid ABC transporter permease protein MlaE,MLAE_ECOLI,P64606,EG12800,260,mlaE; yrbE,b3194, JW3161
hspQ,Heat shock protein HspQ,HSPQ_ECOLI,P0AB20,EG13724,105,hspQ; yccV,b0966, JW5970
rplT,50S ribosomal protein L20,RL20_ECOLI,P0A7L3,EG10881,118,rplT; pdzA,b1716, JW1706
rpmF,50S ribosomal protein L32,RL32_ECOLI,P0A7N4,EG10890,57,rpmF,b1089, JW1075
frr,Ribosome-recycling factor,RRF_ECOLI,P0A805,EG10335,185,frr; rrf,b0172, JW0167
ibpA,Small heat shock protein IbpA,IBPA_ECOLI,P0C054,EG11534,137,ibpA; hslT; htpN,b3687, JW3664
pstB,Phosphate import ATP-binding protein PstB,PSTB_ECOLI,P0AAH0,EG10783,257,pstB; phoT,b3725, JW3703
erpA,Iron-sulfur cluster insertion protein ErpA,ERPA_ECOLI,P0ACC3,EG12332,114,erpA; yadR,b0156, JW0152
fis,DNA-binding protein Fis,FIS_ECOLI,P0A6R3,EG10317,98,fis,b3261, JW3229
zapA,Cell division protein ZapA,ZAPA_ECOLI,P0ADS2,EG12878,109,zapA; ygfE,b2910, JW2878
rplW,50S ribosomal protein L23,RL23_ECOLI,P0ADZ0,EG10883,100,rplW,b3318, JW3280
bcp,Peroxiredoxin Bcp,BCP_ECOLI,P0AE52,EG10108,156,bcp,b2480, JW2465
rpsU,30S ribosomal protein S21,RS21_ECOLI,P68679,EG10920,71,rpsU,b3065, JW3037
rplM,50S ribosomal protein L13,RL13_ECOLI,P0AA10,EG10874,142,rplM,b3231, JW3200
rpmJ,50S ribosomal protein L36,RL36_ECOLI,P0A7Q6,EG11232,38,rpmJ,b3299, JW3261
ilvM,Acetolactate synthase isozyme 2 small subunit,ILVM_ECOLI,P0ADG1,EG10501,87,ilvM,b3769, JW3742
pyrH,Uridylate kinase,PYRH_ECOLI,P0A7E9,EG11539,241,pyrH; smbA,b0171, JW0166
rpsH,30S ribosomal protein S8,RS8_ECOLI,P0A7W7,EG10907,130,rpsH,b3306, JW3268
secF,Protein translocase subunit SecF,SECF_ECOLI,P0AG93,EG10940,323,secF,b0409, JW0399
ibaG,Acid stress protein IbaG,IBAG_ECOLI,P0A9W6,EG12796,84,ibaG; yrbA,b3190, JW3157
rpoE,ECF RNA polymerase sigma-E factor,RPOE_ECOLI,P0AGB6,EG11897,191,rpoE; sigE,b2573, JW2557
corC,Magnesium and cobalt efflux protein CorC,CORC_ECOLI,P0AE78,EG13654,292,corC; ybeX,b0658, JW0655
cmk,Cytidylate kinase,KCY_ECOLI,P0A6I0,EG11265,227,cmk; mssA; ycaF; ycaG,b0910, JW0893
minD,Septum site-determining protein MinD,MIND_ECOLI,P0AEZ3,EG10597,270,minD,b1175, JW1164
bolA,DNA-binding transcriptional regulator BolA,BOLA_ECOLI,P0ABE2,EG10125,105,bolA,b0435, JW5060
lexA,LexA repressor,LEXA_ECOLI,P0A7C2,EG10533,202,lexA; exrA; spr; tsl; umuA,b4043, JW4003
ispB,Octaprenyl diphosphate synthase,ISPB_ECOLI,P0AD57,EG10017,323,ispB; cel; yhbD,b3187, JW3154
yohK,Inner membrane protein YohK,YOHK_ECOLI,P0AD19,EG12024,231,yohK,b2142, JW2130
emrA,Multidrug export protein EmrA,EMRA_ECOLI,P27303,EG11354,390,emrA,b2685, JW2660
ygeX,Diaminopropionate ammonia-lyase,DPAL_ECOLI,P66899,EG13054,398,ygeX,b2871, JW2839
ftsX,Cell division protein FtsX,FTSX_ECOLI,P0AC30,EG10345,352,ftsX; ftsS,b3462, JW3427
malF,Maltose transport system permease protein MalF,MALF_ECOLI,P02916,EG10555,514,malF,b4033, JW3993
rpsK,30S ribosomal protein S11,RS11_ECOLI,P0A7R9,EG10910,129,rpsK,b3297, JW3259
orn,Oligoribonuclease,ORN_ECOLI,P0A784,EG12480,181,orn; o204a; yjeR,b4162, JW5740
ftsQ,Cell division protein FtsQ,FTSQ_ECOLI,P06136,EG10342,276,ftsQ,b0093, JW0091
folC,Dihydrofolate synthase/folylpolyglutamate synthase,FOLC_ECOLI,P08192,EG10327,422,folC; dedC,b2315, JW2312
pyrG,CTP synthase,PYRG_ECOLI,P0A7E5,EG10810,545,pyrG,b2780, JW2751
rapZ,RNase adapter protein RapZ,RAPZ_ECOLI,P0A894,EG12146,284,rapZ; yhbJ,b3205, JW3172
ahpF,Alkyl hydroperoxide reductase subunit F,AHPF_ECOLI,P35340,EG11385,521,ahpF,b0606, JW0599
nudF,ADP-ribose pyrophosphatase,ADPP_ECOLI,Q93K97,EG12184,209,nudF; aspP; yqiE; yzzG,b3034, JW3002
mprA,Transcriptional repressor MprA,MPRA_ECOLI,P0ACR9,EG10603,176,mprA; emrR,b2684, JW2659
pheS,Phenylalanine--tRNA ligase alpha subunit,SYFA_ECOLI,P08312,EG10709,327,pheS,b1714, JW5277
yhbU,putative protease YhbU,YHBU_ECOLI,P45527,EG12790,331,yhbU,b3158, JW3127
ppsA,Phosphoenolpyruvate synthase,PPSA_ECOLI,P23538,EG10759,792,ppsA; pps,b1702, JW1692
rplB,50S ribosomal protein L2,RL2_ECOLI,P60422,EG10865,273,rplB,b3317, JW3279
cyoB,Cytochrome bo(3) ubiquinol oxidase subunit 1,CYOB_ECOLI,P0ABI8,EG10179,663,cyoB,b0431, JW0421
aas,Bifunctional protein Aas,AAS_ECOLI,P31119,EG11679,719,aas,b2836, JW2804
pldB,Lysophospholipase L2,PLDB_ECOLI,P07000,EG10739,340,pldB,b3825, JW5584
atpI,ATP synthase protein I,ATPZ_ECOLI,P0ABC0,EG10106,126,atpI; uncI,b3739, JW5611
ulaR,HTH-type transcriptional regulator UlaR,ULAR_ECOLI,P0A9W0,EG12491,251,ulaR; yjfQ,b4191, JW4149
cpxA,Sensor histidine kinase CpxA,CPXA_ECOLI,P0AE82,EG10163,457,cpxA; ecfB; eup; ssd,b3911, JW3882
dppD,Dipeptide transport ATP-binding protein DppD,DPPD_ECOLI,P0AAG0,EG12627,327,dppD,b3541, JW3510
crp,cAMP-activated global transcriptional regulator CRP,CRP_ECOLI,P0ACJ8,EG10164,210,crp; cap; csm,b3357, JW5702
deaD,ATP-dependent RNA helicase DeaD,DEAD_ECOLI,P0A9P6,EG10215,629,deaD; csdA; mssB; rhlD,b3162, JW5531
rplX,50S ribosomal protein L24,RL24_ECOLI,P60624,EG10884,104,rplX,b3309, JW3271
slt,Soluble lytic murein transglycosylase,SLT_ECOLI,P0AGC3,EG10950,645,slt; sltY,b4392, JW4355
queE,7-carboxy-7-deazaguanine synthase,QUEE_ECOLI,P64554,EG13034,223,queE; ygcF,b2777, JW2748
folX,Dihydroneopterin triphosphate 2'-epimerase,FOLX_ECOLI,P0AC19,EG14263,120,folX,b2303, JW2300
fdoI,"Formate dehydrogenase, cytochrome b556(fdo) subunit",FDOI_ECOLI,P0AEL0,EG11856,211,fdoI,b3892, JW3863
yqjC,Protein YqjC,YQJC_ECOLI,P42616,EG12742,122,yqjC,b3097, JW5516
phoR,Phosphate regulon sensor protein PhoR,PHOR_ECOLI,P08400,EG10733,431,phoR; nmpB,b0400, JW0390
lysS,Lysine--tRNA ligase,SYK1_ECOLI,P0A8N3,EG10552,505,lysS; asuD; herC,b2890, JW2858
ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ISPD_ECOLI,Q46893,EG13110,236,ispD; ygbP,b2747, JW2717
mgtA,"Magnesium-transporting ATPase, P-type 1",ATMA_ECOLI,P0ABB8,EG12525,898,mgtA; corB; mgt,b4242, JW4201
hflK,Modulator of FtsH protease HflK,HFLK_ECOLI,P0ABC7,EG10436,419,hflK; hflA,b4174, JW4132
rpsB,30S ribosomal protein S2,RS2_ECOLI,P0A7V0,EG10901,241,rpsB,b0169, JW0164
yifK,putative transport protein YifK,YIFK_ECOLI,P27837,EG11459,461,yifK,b3795, JW5595
deoC,Deoxyribose-phosphate aldolase,DEOC_ECOLI,P0A6L0,EG10221,259,deoC; dra; thyR,b4381, JW4344
dauA,C4-dicarboxylic acid transporter DauA,DAUA_ECOLI,P0AFR2,EG12392,559,dauA; ychM,b1206, JW5189
metL,Bifunctional aspartokinase/homoserine dehydrogenase 2,AK2H_ECOLI,P00562,EG10590,810,metL; metM,b3940, JW3911
sodB,Superoxide dismutase [Fe],SODF_ECOLI,P0AGD3,EG10954,193,sodB,b1656, JW1648
ybgC,Acyl-CoA thioester hydrolase YbgC,YBGC_ECOLI,P0A8Z3,EG11110,134,ybgC,b0736, JW0726
tomB,Hha toxicity modulator TomB,TOMB_ECOLI,P0AAR0,EG12429,124,tomB; ybaJ,b0461, JW0450
greA,Transcription elongation factor GreA,GREA_ECOLI,P0A6W5,EG10415,158,greA,b3181, JW3148
envC,Murein hydrolase activator EnvC,ENVC_ECOLI,P37690,EG12297,419,envC; yibP,b3613, JW5646
nuoH,NADH-quinone oxidoreductase subunit H,NUOH_ECOLI,P0AFD4,EG12088,325,nuoH,b2282, JW2277
dnaC,DNA replication protein DnaC,DNAC_ECOLI,P0AEF0,EG10237,245,dnaC; dnaD,b4361, JW4325
roxA,50S ribosomal protein L16 3-hydroxylase,ROXA_ECOLI,P27431,EG11430,373,roxA; ycfD,b1128, JW1114
purE,N5-carboxyaminoimidazole ribonucleotide mutase,PURE_ECOLI,P0AG18,EG10793,169,purE,b0523, JW0512
pta,Phosphate acetyltransferase,PTA_ECOLI,P0A9M8,EG20173,714,pta,b2297, JW2294
mdfA,Multidrug transporter MdfA,MDFA_ECOLI,P0AEY8,EG13696,410,mdfA; cmlA; cmr,b0842, JW0826
dppA,Periplasmic dipeptide transport protein,DPPA_ECOLI,P23847,EG10248,535,dppA,b3544, JW3513
envZ,Osmolarity sensor protein EnvZ,ENVZ_ECOLI,P0AEJ4,EG10269,450,envZ; ompB; perA; tpo,b3404, JW3367
glk,Glucokinase,GLK_ECOLI,P0A6V8,EG12957,321,glk,b2388, JW2385
accB,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,BCCP_ECOLI,P0ABD8,EG10275,156,accB; fabE,b3255, JW3223
lepB,Signal peptidase I,LEP_ECOLI,P00803,EG10530,324,lepB,b2568, JW2552
epmA,Elongation factor P--(R)-beta-lysine ligase,EPMA_ECOLI,P0A8N7,EG11211,325,epmA; genX; poxA; yjeA,b4155, JW4116
ribC,Riboflavin synthase,RISA_ECOLI,P0AFU8,EG11406,213,ribC; ribE,b1662, JW1654
glgB,"1,4-alpha-glucan branching enzyme GlgB",GLGB_ECOLI,P07762,EG10378,728,glgB,b3432, JW3395
greB,Transcription elongation factor GreB,GREB_ECOLI,P30128,EG11578,158,greB,b3406, JW3369
lysP,Lysine-specific permease,LYSP_ECOLI,P25737,EG11337,489,lysP; cadR,b2156, JW2143
rlmE,Ribosomal RNA large subunit methyltransferase E,RLME_ECOLI,P0C0R7,EG11507,209,rlmE; ftsJ; mrsF; rrmJ,b3179, JW3146
glnA,Glutamine synthetase,GLN1B_ECOLI,P0A9C5,EG10383,469,glnA,b3870, JW3841
nanA,N-acetylneuraminate lyase,NANA_ECOLI,P0A6L4,EG10637,297,nanA; npl,b3225, JW3194
yijD,Inner membrane protein YijD,YIJD_ECOLI,P0AF40,EG11395,119,yijD,b3964, JW3936
nusB,Transcription antitermination protein NusB,NUSB_ECOLI,P0A780,EG10666,139,nusB; groNB; ssyB,b0416, JW0406
nikR,Nickel-responsive regulator,NIKR_ECOLI,P0A6Z6,EG11519,133,nikR; yhhG,b3481, JW3446
hflD,High frequency lysogenization protein HflD,HFLD_ECOLI,P25746,EG11345,213,hflD; ycfC,b1132, JW5165
panD,Aspartate 1-decarboxylase,PAND_ECOLI,P0A790,EG11747,126,panD,b0131, JW0127
serA,D-3-phosphoglycerate dehydrogenase,SERA_ECOLI,P0A9T0,EG10944,410,serA,b2913, JW2880
gsiC,Glutathione transport system permease protein GsiC,GSIC_ECOLI,P75798,EG13474,306,gsiC; yliC,b0831, JW0815
iscA,Iron-binding protein IscA,ISCA_ECOLI,P0AAC8,EG12132,107,iscA; yfhF,b2528, JW2512
ybjM,Inner membrane protein YbjM,YBJM_ECOLI,P64439,EG13682,125,ybjM,b0848, JW0832
rluC,Ribosomal large subunit pseudouridine synthase C,RLUC_ECOLI,P0AA39,EG11118,319,rluC; yceC,b1086, JW1072
rlmB,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,RLMB_ECOLI,P63177,EG12483,243,rlmB; yjfH,b4180, JW4138
frdD,Fumarate reductase subunit D,FRDD_ECOLI,P0A8Q3,EG10333,119,frdD,b4151, JW4112
metB,Cystathionine gamma-synthase,METB_ECOLI,P00935,EG10582,386,metB,b3939, JW3910
cfa,Cyclopropane-fatty-acyl-phospholipid synthase,CFA_ECOLI,P0A9H7,EG11531,382,cfa; cdfA,b1661, JW1653
mdtF,Multidrug resistance protein MdtF,MDTF_ECOLI,P37637,EG12241,1037,mdtF; yhiV,b3514, JW3482
ccmB,Heme exporter protein B,CCMB_ECOLI,P0ABL8,EG12058,220,ccmB; yejV,b2200, JW2188
asnC,Regulatory protein AsnC,ASNC_ECOLI,P0ACI6,EG10093,152,asnC,b3743, JW3721
hscA,Chaperone protein HscA,HSCA_ECOLI,P0A6Z1,EG12130,616,hscA; hsc,b2526, JW2510
kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,KDSA_ECOLI,P0A715,EG10518,284,kdsA,b1215, JW1206
kbaY,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY",KBAY_ECOLI,P0AB74,EG12768,286,kbaY; agaY; kba; yraC,b3137, JW3106
glnB,Nitrogen regulatory protein P-II 1,GLNB_ECOLI,P0A9Z1,EG10384,112,glnB,b2553, JW2537
cysG,Siroheme synthase,CYSG_ECOLI,P0AEA8,EG10188,457,cysG,b3368, JW3331
rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,RIHB_ECOLI,P33022,EG12030,313,rihB; yeiK,b2162, JW2149
cysD,Sulfate adenylyltransferase subunit 2,CYSD_ECOLI,P21156,EG10186,302,cysD,b2752, JW2722
dcuR,Transcriptional regulatory protein DcuR,DCUR_ECOLI,P0AD01,EG12464,239,dcuR; yjdG,b4124, JW4085
gsiD,Glutathione transport system permease protein GsiD,GSID_ECOLI,P75799,EG13475,303,gsiD; yliD,b0832, JW0816
mukE,Chromosome partition protein MukE,MUKE_ECOLI,P22524,EG11252,234,mukE; kicA; ycbA,b0923, JW0906
trmO,tRNA (adenine(37)-N6)-methyltransferase,TRMO_ECOLI,P28634,EG11503,235,trmO; tsaA; yaeB,b0195, JW0191
yqjD,putative protein YqjD,YQJD_ECOLI,P64581,EG12743,101,yqjD,b3098, JW3069
sucB,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,ODO2_ECOLI,P0AFG6,EG10980,405,sucB,b0727, JW0716
aroF,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",AROF_ECOLI,P00888,EG10078,356,aroF,b2601, JW2582
typA,GTP-binding protein TypA/BipA,TYPA_ECOLI,P32132,EG11837,607,typA; bipA; yihK,b3871, JW5571
entH,Proofreading thioesterase EntH,ENTH_ECOLI,P0A8Y8,EG11105,137,entH; ybdB,b0597, JW0589
araG,Arabinose import ATP-binding protein AraG,ARAG_ECOLI,P0AAF3,EG10058,504,araG,b1900, JW1888
rnb,Exoribonuclease 2,RNB_ECOLI,P30850,EG11620,644,rnb,b1286, JW1279
hexR,HTH-type transcriptional regulator HexR,HEXR_ECOLI,P46118,EG12860,289,hexR; yebK,b1853, JW1842
atl,DNA base-flipping protein,ATL_ECOLI,P0AFP2,EG13254,129,atl; ybaZ,b0454, JW0444
iscS,Cysteine desulfurase IscS,ISCS_ECOLI,P0A6B7,EG12677,404,iscS; nuvC; yfhO; yzzO,b2530, JW2514
btsR,Transcriptional regulatory protein BtsR,BTSR_ECOLI,P0AFT5,EG12006,239,btsR; yehT,b2125, JW5352
yfcE,Phosphodiesterase YfcE,YFCE_ECOLI,P67095,EG14108,184,yfcE,b2300, JW5377
acnB,Aconitate hydratase B,ACNB_ECOLI,P36683,EG12316,865,acnB; yacI; yacJ,b0118, JW0114
uraA,Uracil permease,URAA_ECOLI,P0AGM7,EG12129,429,uraA,b2497, JW2482
rhlB,ATP-dependent RNA helicase RhlB,RHLB_ECOLI,P0A8J8,EG10844,421,rhlB; mmrA,b3780, JW3753
yohC,Inner membrane protein YohC,YOHC_ECOLI,P0AD17,EG12016,195,yohC,b2135, JW5356
eda,KHG/KDPG aldolase,ALKH_ECOLI,P0A955,EG10256,213,eda; hga; kdgA,b1850, JW1839
tatC,Sec-independent protein translocase protein TatC,TATC_ECOLI,P69423,EG11479,258,tatC; mttB; yigU; yigV,b3839, JW3815
mrcB,Penicillin-binding protein 1B,PBPB_ECOLI,P02919,EG10605,844,mrcB; pbpF; ponB,b0149, JW0145
tyrA,T-protein,TYRA_ECOLI,P07023,EG11039,373,tyrA,b2600, JW2581
yadG,putative ABC transporter ATP-binding protein YadG,YADG_ECOLI,P36879,EG12320,308,yadG,b0127, JW0123
sapD,Putrescine export system ATP-binding protein SapD,SAPD_ECOLI,P0AAH4,EG12304,330,sapD; trkE,b1291, JW1284
murJ,Lipid II flippase MurJ,MURJ_ECOLI,P0AF16,EG13880,511,murJ; mviN; yceN,b1069, JW1056
yhfA,Protein YhfA,YHFA_ECOLI,P0ADX1,EG11182,134,yhfA,b3356, JW3319
soxS,Regulatory protein SoxS,SOXS_ECOLI,P0A9E2,EG10958,107,soxS,b4062, JW4023
mrcA,Penicillin-binding protein 1A,PBPA_ECOLI,P02918,EG10748,850,mrcA; ponA,b3396, JW3359
putA,Bifunctional protein PutA,PUTA_ECOLI,P09546,EG10801,1320,putA; poaA,b1014, JW0999
gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",GPMI_ECOLI,P37689,EG12296,514,gpmI; pgmI; yibO,b3612, JW3587
ftsB,Cell division protein FtsB,FTSB_ECOLI,P0A6S5,EG13111,103,ftsB; ygbQ,b2748, JW2718
coaBC,Coenzyme A biosynthesis bifunctional protein CoaBC,COABC_ECOLI,P0ABQ0,EG10004,406,coaBC; dfp,b3639, JW5642
prlC,Oligopeptidase A,OPDA_ECOLI,P27298,EG11441,680,prlC; opdA,b3498, JW3465
maeB,NADP-dependent malic enzyme,MAO2_ECOLI,P76558,EG14193,759,maeB; ypfF,b2463, JW2447
lipB,Octanoyltransferase,LIPB_ECOLI,P60720,EG11591,213,lipB,b0630, JW5089
gltA,Citrate synthase,CISY_ECOLI,P0ABH7,EG10402,427,gltA; gluT; icdB,b0720, JW0710
dnaE,DNA polymerase III subunit alpha,DPO3A_ECOLI,P10443,EG10238,1160,dnaE; polC,b0184, JW0179
lacY,Lactose permease,LACY_ECOLI,P02920,EG10526,417,lacY,b0343, JW0334
gshA,Glutamate--cysteine ligase,GSH1_ECOLI,P0A6W9,EG10418,518,gshA; gsh-I,b2688, JW2663
infB,Translation initiation factor IF-2,IF2_ECOLI,P0A705,EG10505,890,infB; gicD; ssyG,b3168, JW3137
thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,AK1H_ECOLI,P00561,EG10998,820,thrA; thrA1; thrA2,b0002, JW0001
secB,Protein-export protein SecB,SECB_ECOLI,P0AG86,EG10937,155,secB,b3609, JW3584
decR,DNA-binding transcriptional activator DecR,DECR_ECOLI,P0ACJ5,EG13218,152,decR; ybaO,b0447, JW0437
trxC,Thioredoxin 2,THIO2_ECOLI,P0AGG4,EG11887,139,trxC; yfiG,b2582, JW2566
yqjA,Inner membrane protein YqjA,YQJA_ECOLI,P0AA63,EG12740,220,yqjA,b3095, JW3066
pykF,Pyruvate kinase I,KPYK1_ECOLI,P0AD61,EG10804,470,pykF,b1676, JW1666
edd,Phosphogluconate dehydratase,EDD_ECOLI,P0ADF6,EG10257,603,edd,b1851, JW1840
nuoM,NADH-quinone oxidoreductase subunit M,NUOM_ECOLI,P0AFE8,EG11773,509,nuoM,b2277, JW2272
